X,Y,Z,sii_sii
-3.810154823601356800e+16,-1.536514349596672000e+16,-1.446461018682163200e+16,1.289595007896423340e+00
-3.810154823601356800e+16,-1.528555775197184000e+16,-1.438427174980812800e+16,1.213168382644653320e+00
-3.802196249201868800e+16,-1.799150311256883200e+16,-2.014135221380710400e+16,1.133694529533386230e+00
-3.802196249201868800e+16,-1.791191629483212800e+16,-2.011055515081113600e+16,1.038070797920227051e+00
-3.802196249201868800e+16,-1.783232947709542400e+16,-2.010030306387558400e+16,1.143957734107971191e+00
-3.802196249201868800e+16,-1.775274265935872000e+16,-2.003379334781337600e+16,1.082519531250000000e+00
-3.802196249201868800e+16,-1.767315798910566400e+16,-2.022636035401318400e+16,1.195107817649841309e+00
-3.802196249201868800e+16,-1.568349076691353600e+16,2.118815546605568000e+15,7.207249402999877930e-01
-3.802196249201868800e+16,-1.560390394917683200e+16,1.946101221425152000e+15,7.902001738548278809e-01
-3.802196249201868800e+16,-1.552431713144012800e+16,1.922506147495936000e+15,1.222124218940734863e+00
-3.802196249201868800e+16,-1.544473031370342400e+16,-1.451412149606809600e+16,1.375532627105712891e+00
-3.802196249201868800e+16,-9.555319759831040000e+15,2.052499506724864000e+15,9.263473749160766602e-01
-3.802196249201868800e+16,-9.475732942094336000e+15,2.092908303876096000e+15,9.876972436904907227e-01
-3.794237674802380800e+16,-1.791191629483212800e+16,-2.001284464482713600e+16,1.041299819946289062e+00
-3.794237674802380800e+16,-1.783232947709542400e+16,-1.996420414019993600e+16,1.038920402526855469e+00
-3.794237674802380800e+16,-1.775274265935872000e+16,-2.005179785071820800e+16,9.380244612693786621e-01
-3.794237674802380800e+16,-1.767315798910566400e+16,-2.075115381797683200e+16,8.450652360916137695e-01
-3.794237674802380800e+16,-1.759357117136896000e+16,-2.095991714584985600e+16,9.906763434410095215e-01
-3.794237674802380800e+16,-1.568349076691353600e+16,1.858671793405952000e+15,7.848654389381408691e-01
-3.794237674802380800e+16,-1.560390394917683200e+16,1.911955828768768000e+15,8.753836750984191895e-01
-3.794237674802380800e+16,-9.714492321562624000e+15,2.117284390764544000e+15,8.839215636253356934e-01
-3.794237674802380800e+16,-9.634906577567744000e+15,2.056800782254080000e+15,1.009505987167358398e+00
-3.794237674802380800e+16,-9.555319759831040000e+15,2.017254468222976000e+15,1.057596445083618164e+00
-3.794237674802380800e+16,-9.475732942094336000e+15,1.948139988713472000e+15,1.058956265449523926e+00
-3.786278670906163200e+16,-1.783232947709542400e+16,-1.988326548150681600e+16,1.072430610656738281e+00
-3.786278670906163200e+16,-1.767315798910566400e+16,-2.098285656617779200e+16,9.998001456260681152e-01
-3.786278670906163200e+16,-1.759357117136896000e+16,-2.099284666010828800e+16,1.020867347717285156e+00
-3.786278670906163200e+16,-1.751398435363225600e+16,-2.105866488643584000e+16,1.135165810585021973e+00
-3.786278670906163200e+16,-1.568349076691353600e+16,1.881214868783104000e+15,8.467287421226501465e-01
-3.786278670906163200e+16,-1.560390394917683200e+16,1.857538324692992000e+15,9.090322256088256836e-01
-3.786278670906163200e+16,-1.552431713144012800e+16,1.922146846638080000e+15,1.312278032302856445e+00
-3.786278670906163200e+16,-9.953252774772736000e+15,2.807453691412480000e+15,9.712365269660949707e-01
-3.786278670906163200e+16,-9.714492321562624000e+15,2.830146795365990400e+16,9.602065682411193848e-01
-3.786278670906163200e+16,-9.634906577567744000e+15,1.999148765151232000e+15,9.027760028839111328e-01
-3.786278670906163200e+16,-9.555319759831040000e+15,1.992819728187392000e+15,7.914249897003173828e-01
-3.786278670906163200e+16,-9.475732942094336000e+15,1.902178604154880000e+15,8.654829263687133789e-01
-3.778320096506675200e+16,-1.759357117136896000e+16,-2.108696872091648000e+16,1.004036188125610352e+00
-3.778320096506675200e+16,-1.751398435363225600e+16,-2.114018121823027200e+16,1.164208889007568359e+00
-3.778320096506675200e+16,-1.743439753589555200e+16,-2.119782397430988800e+16,1.056815147399902344e+00
-3.778320096506675200e+16,-1.568349076691353600e+16,2.079044954750976000e+15,5.677277445793151855e-01
-3.778320096506675200e+16,-1.560390394917683200e+16,1.851160835129344000e+15,7.911494374275207520e-01
-3.778320096506675200e+16,-1.552431713144012800e+16,1.848771625353216000e+15,9.272782802581787109e-01
-3.778320096506675200e+16,-1.011242641024614400e+16,3.119845453332480000e+15,9.465689659118652344e-01
-3.778320096506675200e+16,-1.003283959250944000e+16,2.902836593557504000e+15,1.077759981155395508e+00
-3.778320096506675200e+16,-9.953252774772736000e+15,2.754922214850560000e+15,1.056270956993103027e+00
-3.778320096506675200e+16,-9.873665957036032000e+15,2.601937090379776000e+15,9.341999888420104980e-01
-3.778320096506675200e+16,-9.794079139299328000e+15,2.412430248378368000e+15,9.367882013320922852e-01
-3.770361522107187200e+16,-1.751398435363225600e+16,-2.121640829779968000e+16,1.019174456596374512e+00
-3.770361522107187200e+16,-1.743439753589555200e+16,-2.131213667637657600e+16,1.037345767021179199e+00
-3.770361522107187200e+16,-1.735481071815884800e+16,-2.139539246992588800e+16,1.072117567062377930e+00
-3.770361522107187200e+16,-1.568349076691353600e+16,2.035128243060736000e+15,4.774934947490692139e-01
-3.770361522107187200e+16,-1.560390394917683200e+16,1.858449663066112000e+15,6.666455268859863281e-01
-3.770361522107187200e+16,-1.552431713144012800e+16,1.743671091265536000e+15,8.423787355422973633e-01
-3.770361522107187200e+16,-1.043077153370931200e+16,3.948897353334784000e+15,9.316062331199645996e-01
-3.770361522107187200e+16,-1.035118578971443200e+16,3.903297953988608000e+15,8.815422058105468750e-01
-3.770361522107187200e+16,-1.027159897197772800e+16,3.596572864544768000e+15,1.065228223800659180e+00
-3.770361522107187200e+16,-1.019201322798284800e+16,3.355796192624640000e+15,1.125519394874572754e+00
-3.770361522107187200e+16,-1.011242641024614400e+16,2.942870520594432000e+15,8.872690796852111816e-01
-3.770361522107187200e+16,-1.003283959250944000e+16,2.788779710480384000e+15,9.557941555976867676e-01
-3.770361522107187200e+16,-9.953252774772736000e+15,2.719508598882304000e+15,9.029373526573181152e-01
-3.770361522107187200e+16,-9.873665957036032000e+15,2.677384901820416000e+15,8.011390566825866699e-01
-3.762402947707699200e+16,-1.743439753589555200e+16,-2.137650749872537600e+16,1.008996129035949707e+00
-3.762402947707699200e+16,-1.735481071815884800e+16,-2.145755353160089600e+16,1.112183570861816406e+00
-3.762402947707699200e+16,-1.568349076691353600e+16,1.930514114019328000e+15,6.902686357498168945e-01
-3.762402947707699200e+16,-1.560390394917683200e+16,1.661628357541888000e+15,7.094965577125549316e-01
-3.762402947707699200e+16,-1.552431713144012800e+16,1.595538877186048000e+15,8.376502990722656250e-01
-3.762402947707699200e+16,-1.544473031370342400e+16,1.540809451110400000e+15,7.635452747344970703e-01
-3.762402947707699200e+16,-1.051035835144601600e+16,3.885674629431296000e+15,1.114138841629028320e+00
-3.762402947707699200e+16,-1.043077153370931200e+16,3.795014580699136000e+15,1.013630747795104980e+00
-3.762402947707699200e+16,-1.035118578971443200e+16,3.664567833985024000e+15,9.154726266860961914e-01
-3.762402947707699200e+16,-1.027159897197772800e+16,3.589578241867776000e+15,9.421706795692443848e-01
-3.762402947707699200e+16,-1.019201322798284800e+16,3.438392171823104000e+15,1.058764457702636719e+00
-3.762402947707699200e+16,-1.011242641024614400e+16,3.098486312534016000e+15,9.857601523399353027e-01
-3.762402947707699200e+16,-1.003283959250944000e+16,2.918798302642176000e+15,9.783530235290527344e-01
-3.762402947707699200e+16,-9.953252774772736000e+15,2.993016464945971200e+16,1.012230396270751953e+00
-3.762402947707699200e+16,-9.873665957036032000e+15,2.748738804121600000e+15,9.163789749145507812e-01
-3.754444373308211200e+16,-1.568349076691353600e+16,1.893927300890624000e+15,9.749125838279724121e-01
-3.754444373308211200e+16,-1.560390394917683200e+16,1.613326484242432000e+15,7.121747136116027832e-01
-3.754444373308211200e+16,-1.552431713144012800e+16,1.432260595154944000e+15,8.520760536193847656e-01
-3.754444373308211200e+16,-1.544473031370342400e+16,1.445038525513728000e+15,9.090371727943420410e-01
-3.754444373308211200e+16,-1.051035835144601600e+16,3.655981657489408000e+15,1.055045962333679199e+00
-3.754444373308211200e+16,-1.043077153370931200e+16,3.627456095322112000e+15,9.620797038078308105e-01
-3.754444373308211200e+16,-1.035118578971443200e+16,3.583714537766912000e+15,9.536316990852355957e-01
-3.754444373308211200e+16,-1.027159897197772800e+16,3.603424679559168000e+15,1.060581326484680176e+00
-3.754444373308211200e+16,-1.019201322798284800e+16,3.441724798009344000e+15,1.062824010848999023e+00
